title,name,sellingPrice,listingPrice,typeOfBook,printLength,publicationDate,rating,reviews,availability
The Kaggle Book: Data analysis and machine learning for competitive data science,"Konrad Banachewicz 
(Author),",,,Kindle Edition,,Publication date      22 April 2022,4.4 out of 5 stars,133 ratings,Out of stock
The Data Model Resource Book: A Library of Universal Data Models for All Enterprises,"Len Silverston 
(Author)",,,"1st Edition, Kindle Edition",,Publication date      5 May 2008,4.3 out of 5 stars,60 ratings,Out of stock
Data Mesh,"Zhamak Dehghani 
(Author)",,,Kindle Edition,,Publication date      8 Mar. 2022,4.5 out of 5 stars,284 ratings,Out of stock
Data Governance For Dummies (For Dummies (Computer/tech)),"Jonathan Reichental 
(Author)",£9.99,RRP: £24.99,Paperback – 5 Dec. 2022,Print length      288 pages,Publication date      5 Dec. 2022,4.3 out of 5 stars,32 ratings,In stock
"Essential Math for Data Science: Take Control of Your Data with Fundamental Linear Algebra, Probability, and Statistics","Thomas Nield 
(Author)",£38.06,RRP: £52.99,Paperback – 10 Jun. 2022,Print length      350 pages,Publication date      10 Jun. 2022,4.6 out of 5 stars,252 ratings,Only 14 left in stock.
"DAMA-DMBOK: Data Management Body of Knowledge: 2nd Edition: Data Management Body of Knowledge: 2nd Edition, Revised","DAMA International 
(Author)",£70.67,RRP: £74.99,"Paperback – Illustrated, 1 July 2017",Print length      588 pages,Publication date      1 July 2017,4.7 out of 5 stars,678 ratings,In stock
Azure Data Engineer Associate Certification Guide: Ace the DP-203 exam with advanced data engineering skills,"Giacinto Palmieri 
(Author),",£37.99,,Paperback – 23 May 2024,Print length      548 pages,Publication date      23 May 2024,4.6 out of 5 stars,9 ratings,In stock
"Cribsheet: A Data-Driven Guide to Better, More Relaxed Parenting, from Birth to Preschool","Emily Oster 
(Author)",£9.99,RRP: £10.99,Paperback – 9 April 2020,Print length      352 pages,Publication date      9 April 2020,4.4 out of 5 stars,"5,828 ratings",In stock
"Agile Data Warehouse Design: Collaborative Dimensional Modeling, from Whiteboard to Star Schema","Lawrence Corr 
(Author),",£19.98,,Paperback – 24 Nov. 2011,Print length      328 pages,Publication date      24 Nov. 2011,4.6 out of 5 stars,213 ratings,Only 1 left in stock.
"Data: Principles To Practice - Volume 1 'Foundations': Essential Foundations: Key Concepts behind Data Architecture, Engineering and Analysis for Professionals","Alex Holloway 
(Author)",,,Kindle Edition,,Publication date      3 July 2024,4.7 out of 5 stars,10 ratings,Out of stock
Data Engineering with Python cookbook: Learn to build efficient data pipelines using the Modern Cloud Data Stack,"Adithyan Ramanujakootam 
(Author)",£24.99,,Paperback – 3 Oct. 2023,Print length      266 pages,Publication date      3 Oct. 2023,5.0 out of 5 stars,4 ratings,In stock
Data Ethics: Practical Strategies for Implementing Ethical Information Management and Governance,"Katherine O'Keefe 
(Author),",£39.99,RRP: £44.99,Paperback – 3 Jun. 2023,Print length      392 pages,Publication date      3 Jun. 2023,5.0 out of 5 stars,4 ratings,In stock
Driving Data Projects: A comprehensive guide,"Dr. Christine Haskell 
(Author)",£33.44,RRP: £34.99,Paperback – 26 Feb. 2024,Print length      364 pages,Publication date      26 Feb. 2024,5.0 out of 5 stars,8 ratings,Only 7 left in stock.
Python Programming Bible: [3 in 1] The Complete Crash Course to Learn and Explore Python beyond the Basics. Including Examples and Practical Exercises to Master Python from Beginners to Pro,"James P. Meyers 
(Author)",£18.97,,Paperback – 13 Oct. 2023,Print length      340 pages,Publication date      13 Oct. 2023,4.3 out of 5 stars,104 ratings,In stock
"SQL Data Analytics Made Easy: Your Step-by-Step Guide to Unlocking Data’s Hidden Secrets: Demystify complex concepts, and harness the power of data to drive intelligent decision-making effortlessly.","L.D. Knowings 
(Author)",£11.71,,Paperback – 3 Nov. 2023,Print length      210 pages,Publication date      3 Nov. 2023,4.4 out of 5 stars,24 ratings,In stock
Cracking the Data: From the Sidelines to the Screens,"Dr Erkut Sogut 
(Author),",£15.99,,Paperback – 23 May 2024,Print length      112 pages,Publication date      23 May 2024,3.9 out of 5 stars,3 ratings,In stock
Covid By Numbers: Making Sense of the Pandemic with Data (Pelican Books),"David Spiegelhalter 
(Author),",£4.00,RRP: £10.99,Hardcover – 7 Oct. 2021,Print length      320 pages,Publication date      7 Oct. 2021,4.5 out of 5 stars,175 ratings,In stock
Building a Data Driven Culture: A Step by Step Guide,"Gethyn Ellis 
(Author),",£11.99,,Paperback – 6 Oct. 2023,Print length      251 pages,Publication date      6 Oct. 2023,4.9 out of 5 stars,23 ratings,In stock
